film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Gaston,Glen Powell,cast,0,2026-08-15T08:02:36.082279+00:00,,,attached
The Seven Husbands of Evelyn Hugo,Taylor Swift,cast,,2026-08-15T08:04:11.625986+00:00,2026-08-16T08:54:39.943114+00:00,24.841199,reverted
The Seven Husbands of Evelyn Hugo,Karlie Kloss,cast,,2026-08-15T08:04:11.625986+00:00,2026-08-16T08:54:39.943114+00:00,24.841199,reverted
The Seven Husbands of Evelyn Hugo,Paul Mescal,cast,,2026-08-15T08:04:11.625986+00:00,2026-08-16T08:54:39.943114+00:00,24.841199,reverted
Untitled Michael Sequel,Nia Long,cast,,2026-08-15T08:06:03.379701+00:00,2026-08-19T09:29:03.082928+00:00,97.383251,reverted
Untitled Michael Sequel,Teresa Palmer,cast,,2026-08-15T08:06:03.379701+00:00,2026-08-19T09:29:03.082928+00:00,97.383251,reverted
Untitled Michael Sequel,Colman Domingo,cast,,2026-08-15T08:06:03.379701+00:00,2026-08-19T09:29:03.082928+00:00,97.383251,reverted
Untitled Michael Sequel,Riley Keough,cast,,2026-08-15T08:06:03.379701+00:00,2026-08-19T09:29:03.082928+00:00,97.383251,reverted
Untitled Michael Sequel,Jaafar Jackson,cast,0,2026-08-15T08:06:03.379701+00:00,,,attached
Leite em Pó,Titina Medeiros,cast,4,2026-08-15T08:06:44.784633+00:00,,,attached
The Nest,Hugo Stuven Casasnovas,director,,2026-08-15T08:07:02.354559+00:00,,,attached
The Nest,Hugo Stuven Casasnovas,writer,,2026-08-15T08:07:02.354559+00:00,,,attached
The Nest,Santiago Lallana,writer,,2026-08-15T08:07:02.354559+00:00,,,attached
The Nest,César de Nicolás,writer,,2026-08-15T08:07:02.354559+00:00,,,attached
The Nest,Dylan Radley,cast,3,2026-08-15T08:07:02.354559+00:00,,,attached
Spider-Man: Beyond the Spider-Verse,Jason Schwartzman,cast,3,2026-08-15T09:00:24.302920+00:00,,,attached
Spider-Man: Beyond the Spider-Verse,Jake Johnson,cast,4,2026-08-15T09:00:24.302920+00:00,,,attached
Hexed,Jodie Foster,cast,4,2026-08-15T09:00:31.174647+00:00,,,attached
Just Play Dead,Eoin Macken,cast,3,2026-08-15T09:00:43.627395+00:00,,,attached
Just Play Dead,Jason Fernández,cast,4,2026-08-15T09:00:43.627395+00:00,,,attached
Black Market,Abdul Tijani-Ahmed,writer,,2026-08-15T09:01:00.654661+00:00,,,attached
Black Market,Fatimah Binta Gimsay,writer,,2026-08-15T09:01:00.654661+00:00,,,attached
Incredibles 3,Bob Odenkirk,cast,6,2026-08-15T09:01:01.961387+00:00,2026-08-16T09:01:01.545091+00:00,23.999884,reverted
Glaxo,Joaquín Bonadeo,cast,3,2026-08-15T09:01:13.571662+00:00,,,attached
Siti Vampire,Shania Gracia,cast,3,2026-08-15T09:01:41.315664+00:00,,,attached
Djinn Wedding,Ferit Karahan,writer,,2026-08-15T09:04:29.269400+00:00,,,attached
Djinn Wedding,Demet Özdemir,cast,0,2026-08-15T09:04:29.269400+00:00,,,attached
Djinn Wedding,Kaan Yıldırım,cast,2,2026-08-15T09:04:29.269400+00:00,,,attached
Djinn Wedding,Helin Kandemir,cast,4,2026-08-15T09:04:29.269400+00:00,,,attached
Djinn Wedding,İlhan Şen,cast,1,2026-08-15T09:04:29.269400+00:00,,,attached
Djinn Wedding,Sarp Bozkurt,cast,3,2026-08-15T09:04:29.269400+00:00,,,attached
One Minute to Midnight,Clara Pacini,cast,4,2026-08-16T08:37:15.387175+00:00,,,attached
Before the War,Cisky Capizzi,cast,4,2026-08-16T08:44:32.699497+00:00,,,attached
Before the War,Sebastien Halnaut,cast,3,2026-08-16T08:44:32.699497+00:00,,,attached
Streetball: Game Over,Kenny Young,director,,2026-08-16T08:45:20.081553+00:00,,,attached
The Eyes Are the Best Part,Yerin Ha,cast,,2026-08-16T08:45:45.232536+00:00,2026-08-17T09:12:36.697187+00:00,24.447629,reverted
A Town in Nova Scotia,Tayo Aluko,cast,3,2026-08-16T08:46:36.597680+00:00,,,attached
Bohurupi: The Golden Daku,Rajatabha Dutta,cast,4,2026-08-16T08:49:22.734867+00:00,,,attached
The Echo Chamber,Peter Coonan,cast,4,2026-08-16T08:50:13.408283+00:00,,,attached
The Echo Chamber,Ann Akinjirin,cast,3,2026-08-16T08:50:13.408283+00:00,,,attached
Youth Juice,Charlie Besso,cast,4,2026-08-16T08:54:20.149255+00:00,,,attached
The Seven Husbands of Evelyn Hugo,Anne Hathaway,cast,,2026-08-16T08:54:39.943114+00:00,2026-08-17T09:21:24.452493+00:00,24.445697,reverted
The Seven Husbands of Evelyn Hugo,Emily Blunt,cast,,2026-08-16T08:54:39.943114+00:00,2026-08-17T09:21:24.452493+00:00,24.445697,reverted
Captain Bonanza!,Nino Perricone,cast,4,2026-08-16T08:57:06.440396+00:00,,,attached
Drummer Boy,Charles Esten,cast,4,2026-08-16T08:57:18.130761+00:00,,,attached
Untitled X-Men Film,Christopher Abbott,cast,2,2026-08-16T09:00:22.459040+00:00,,,attached
Untitled X-Men Film,Inde Navarrette,cast,4,2026-08-16T09:00:22.459040+00:00,,,attached
Incredibles 3,Samuel L. Jackson,cast,4,2026-08-16T09:01:01.545091+00:00,,,attached
Incredibles 3,Huck Milner,cast,3,2026-08-16T09:01:01.545091+00:00,,,attached
Youri,Rick Paul van Mulligen,cast,3,2026-08-16T09:01:03.898200+00:00,,,attached
